case_id,condition,reference_label,ai_prediction,ai_confidence,ai_correct,clinician_initial,clinician_initial_confidence,initial_correct,ai_revealed,explanation_opened,clinician_final,clinician_final_confidence,final_correct,decision_switched,ai_agreement_final,decision_time_sec,synthetic
SIM-C00026,ai_prediction,0,0,0.805,1,0,0.765,1,1,0,0,0.739,1,0,1,37.7,1
SIM-C00027,ai_plus_explanation,1,1,0.824,1,1,0.809,1,1,0,1,0.809,1,0,1,31.9,1
SIM-C00028,no_ai,3,3,0.99,1,3,0.593,1,0,0,3,0.593,1,0,1,38.1,1
SIM-C00029,no_ai,0,0,0.784,1,0,0.849,1,0,0,0,0.849,1,0,1,30.3,1
SIM-C00030,no_ai,0,3,0.4,0,0,0.677,1,0,0,0,0.677,1,0,0,15.2,1
SIM-C00031,no_ai,0,0,0.835,1,0,0.619,1,0,0,0,0.619,1,0,1,23.5,1
SIM-C00032,no_ai,0,0,0.825,1,0,0.765,1,0,0,0,0.765,1,0,1,37.4,1
SIM-C00033,ai_plus_explanation,3,3,0.762,1,1,0.731,0,1,1,1,0.781,0,0,0,34.4,1
SIM-C00034,ai_prediction,0,0,0.868,1,3,0.286,0,1,0,0,0.383,1,1,1,39.7,1
SIM-C00035,no_ai,0,0,0.863,1,2,0.599,0,0,0,2,0.599,0,0,0,43.2,1
SIM-C00036,ai_prediction,2,2,0.926,1,3,0.71,0,1,0,3,0.766,0,0,0,40.7,1
SIM-C00037,ai_plus_explanation,0,0,0.886,1,4,0.593,0,1,1,0,0.773,1,1,1,49.1,1
SIM-C00038,ai_plus_explanation,0,0,0.917,1,0,0.713,1,1,1,0,0.768,1,0,1,32.3,1
SIM-C00039,ai_prediction,0,0,0.888,1,2,0.783,0,1,0,0,0.913,1,1,1,34.2,1
SIM-C00040,ai_plus_explanation,0,0,0.876,1,0,0.99,1,1,0,0,0.988,1,0,1,41.6,1
SIM-C00041,ai_prediction,0,0,0.938,1,0,0.943,1,1,0,0,0.99,1,0,1,54.6,1
SIM-C00042,no_ai,0,0,0.765,1,0,0.765,1,0,0,0,0.765,1,0,1,42.8,1
SIM-C00043,ai_prediction,0,0,0.859,1,0,0.735,1,1,0,0,0.8,1,0,1,36.6,1
SIM-C00044,ai_plus_explanation,2,2,0.88,1,2,0.985,1,1,1,2,0.95,1,0,1,48.1,1
SIM-C00045,no_ai,4,0,0.605,0,4,0.555,1,0,0,4,0.555,1,0,0,28.0,1
SIM-C00046,ai_plus_explanation,0,0,0.752,1,0,0.62,1,1,0,0,0.612,1,0,1,39.9,1
SIM-C00047,no_ai,2,3,0.573,0,3,0.662,0,0,0,3,0.662,0,0,1,29.9,1
SIM-C00048,ai_prediction,0,0,0.909,1,0,0.737,1,1,0,0,0.837,1,0,1,25.1,1
SIM-C00049,ai_plus_explanation,1,0,0.723,0,2,0.625,0,1,0,2,0.716,0,0,0,42.7,1
SIM-C00050,ai_plus_explanation,3,3,0.792,1,3,0.725,1,1,1,3,0.766,1,0,1,57.7,1
SIM-C00051,ai_prediction,0,0,0.928,1,3,0.45,0,1,0,3,0.517,0,0,0,30.6,1
SIM-C00052,ai_prediction,0,0,0.776,1,0,0.661,1,1,0,0,0.659,1,0,1,28.7,1
SIM-C00053,ai_prediction,3,3,0.765,1,0,0.483,0,1,0,0,0.507,0,0,0,51.0,1
SIM-C00054,ai_prediction,3,3,0.889,1,3,0.741,1,1,0,3,0.789,1,0,1,30.3,1
SIM-C00055,ai_plus_explanation,2,2,0.739,1,2,0.755,1,1,0,2,0.751,1,0,1,24.5,1
SIM-C00056,ai_plus_explanation,0,2,0.511,0,0,0.671,1,1,1,0,0.68,1,0,0,39.2,1
SIM-C00057,ai_prediction,0,0,0.668,1,2,0.455,0,1,0,0,0.648,1,1,1,36.4,1
SIM-C00058,ai_plus_explanation,3,3,0.99,1,1,0.475,0,1,1,1,0.462,0,0,0,36.9,1
SIM-C00059,ai_plus_explanation,0,2,0.585,0,1,0.767,0,1,1,1,0.763,0,0,0,53.3,1
SIM-C00060,ai_prediction,2,2,0.732,1,2,0.926,1,1,0,2,0.956,1,0,1,32.0,1
SIM-C00061,ai_prediction,0,0,0.821,1,0,0.625,1,1,0,0,0.673,1,0,1,49.3,1
SIM-C00062,ai_prediction,4,4,0.824,1,4,0.687,1,1,0,4,0.734,1,0,1,30.7,1
SIM-C00063,no_ai,0,0,0.757,1,1,0.486,0,0,0,1,0.486,0,0,0,29.1,1
SIM-C00064,ai_plus_explanation,2,2,0.837,1,2,0.599,1,1,0,2,0.545,1,0,1,39.7,1
SIM-C00065,ai_plus_explanation,0,0,0.793,1,0,0.643,1,1,1,0,0.697,1,0,1,35.4,1
SIM-C00066,no_ai,0,0,0.786,1,0,0.826,1,0,0,0,0.826,1,0,1,17.7,1
SIM-C00067,ai_prediction,0,0,0.765,1,3,0.569,0,1,0,3,0.64,0,0,0,40.7,1
SIM-C00068,no_ai,1,1,0.931,1,1,0.788,1,0,0,1,0.788,1,0,1,18.5,1
SIM-C00069,no_ai,0,1,0.49,0,4,0.524,0,0,0,4,0.524,0,0,0,41.2,1
SIM-C00070,ai_plus_explanation,1,4,0.61,0,1,0.731,1,1,1,1,0.802,1,0,0,48.2,1
SIM-C00071,ai_prediction,2,2,0.824,1,2,0.848,1,1,0,2,0.951,1,0,1,42.2,1
SIM-C00072,ai_prediction,0,0,0.888,1,4,0.593,0,1,0,4,0.558,0,0,0,36.1,1
SIM-C00073,no_ai,2,2,0.92,1,2,0.806,1,0,0,2,0.806,1,0,1,26.2,1
SIM-C00074,ai_plus_explanation,0,3,0.674,0,0,0.842,1,1,0,3,0.957,0,1,1,41.4,1
SIM-C00075,no_ai,1,1,0.921,1,1,0.99,1,0,0,1,0.99,1,0,1,29.7,1
SIM-C00076,ai_plus_explanation,2,2,0.977,1,2,0.644,1,1,1,2,0.733,1,0,1,53.4,1
SIM-C00077,ai_prediction,0,0,0.764,1,0,0.577,1,1,0,0,0.652,1,0,1,42.9,1
SIM-C00078,ai_plus_explanation,0,0,0.739,1,0,0.658,1,1,1,0,0.741,1,0,1,47.1,1
SIM-C00079,no_ai,1,1,0.922,1,1,0.684,1,0,0,1,0.684,1,0,1,27.5,1
SIM-C00080,ai_prediction,1,4,0.642,0,1,0.944,1,1,0,1,0.945,1,0,0,39.9,1
SIM-C00081,ai_prediction,3,3,0.897,1,1,0.509,0,1,0,3,0.62,1,1,1,44.0,1
SIM-C00082,no_ai,1,1,0.728,1,1,0.896,1,0,0,1,0.896,1,0,1,30.8,1
SIM-C00083,ai_plus_explanation,1,4,0.46,0,1,0.636,1,1,1,1,0.733,1,0,0,44.1,1
SIM-C00084,ai_prediction,1,1,0.793,1,1,0.905,1,1,0,1,0.989,1,0,1,34.9,1
SIM-C00085,ai_plus_explanation,0,4,0.417,0,0,0.837,1,1,0,4,0.971,0,1,1,36.3,1
SIM-C00086,ai_prediction,0,0,0.77,1,0,0.719,1,1,0,0,0.83,1,0,1,41.0,1
SIM-C00087,ai_plus_explanation,0,4,0.531,0,0,0.615,1,1,0,4,0.615,0,1,1,41.7,1
SIM-C00088,ai_plus_explanation,0,0,0.799,1,0,0.751,1,1,1,0,0.717,1,0,1,44.8,1
SIM-C00089,no_ai,0,0,0.762,1,0,0.933,1,0,0,0,0.933,1,0,1,30.6,1
SIM-C00090,ai_prediction,0,0,0.822,1,4,0.47,0,1,0,0,0.684,1,1,1,38.4,1
SIM-C00091,ai_prediction,0,0,0.719,1,0,0.735,1,1,0,0,0.799,1,0,1,40.0,1
SIM-C00092,no_ai,4,4,0.979,1,2,0.366,0,0,0,2,0.366,0,0,0,25.6,1
SIM-C00093,ai_plus_explanation,4,0,0.463,0,4,0.85,1,1,1,4,0.927,1,0,0,37.6,1
SIM-C00094,ai_prediction,4,0,0.657,0,4,0.797,1,1,0,4,0.837,1,0,0,26.7,1
SIM-C00095,ai_prediction,4,4,0.765,1,3,0.363,0,1,0,3,0.407,0,0,0,41.9,1
SIM-C00096,no_ai,0,0,0.872,1,0,0.807,1,0,0,0,0.807,1,0,1,34.3,1
SIM-C00097,no_ai,0,0,0.851,1,0,0.597,1,0,0,0,0.597,1,0,1,44.1,1
SIM-C00098,ai_plus_explanation,2,2,0.821,1,2,0.674,1,1,0,2,0.751,1,0,1,33.2,1
SIM-C00099,no_ai,0,0,0.729,1,0,0.704,1,0,0,0,0.704,1,0,1,24.3,1
SIM-C00100,ai_prediction,0,0,0.732,1,0,0.645,1,1,0,0,0.59,1,0,1,27.4,1
SIM-C00101,ai_plus_explanation,4,4,0.653,1,4,0.704,1,1,1,4,0.75,1,0,1,37.9,1
SIM-C00102,no_ai,1,1,0.975,1,1,0.786,1,0,0,1,0.786,1,0,1,40.3,1
SIM-C00103,no_ai,0,0,0.814,1,0,0.99,1,0,0,0,0.99,1,0,1,37.1,1
SIM-C00104,no_ai,3,3,0.781,1,3,0.551,1,0,0,3,0.551,1,0,1,28.8,1
SIM-C00105,ai_prediction,0,0,0.862,1,0,0.858,1,1,0,0,0.951,1,0,1,55.8,1
SIM-C00106,ai_prediction,2,2,0.737,1,2,0.747,1,1,0,2,0.834,1,0,1,35.5,1
SIM-C00107,ai_plus_explanation,2,2,0.817,1,2,0.623,1,1,1,2,0.625,1,0,1,43.1,1
SIM-C00108,ai_prediction,0,0,0.943,1,1,0.878,0,1,0,1,0.917,0,0,0,44.9,1
SIM-C00109,ai_prediction,1,1,0.936,1,1,0.754,1,1,0,1,0.813,1,0,1,33.6,1
SIM-C00110,no_ai,0,2,0.568,0,0,0.504,1,0,0,0,0.504,1,0,0,38.2,1
SIM-C00111,ai_prediction,0,0,0.934,1,0,0.705,1,1,0,0,0.746,1,0,1,48.5,1
SIM-C00112,ai_plus_explanation,2,2,0.956,1,2,0.748,1,1,0,2,0.845,1,0,1,48.5,1
SIM-C00113,ai_plus_explanation,1,1,0.766,1,1,0.803,1,1,1,1,0.828,1,0,1,45.5,1
SIM-C00114,ai_plus_explanation,1,1,0.851,1,1,0.866,1,1,0,1,0.99,1,0,1,32.4,1
SIM-C00115,no_ai,2,2,0.99,1,2,0.525,1,0,0,2,0.525,1,0,1,23.2,1
SIM-C00116,no_ai,0,0,0.876,1,0,0.838,1,0,0,0,0.838,1,0,1,30.4,1
SIM-C00117,ai_plus_explanation,2,2,0.727,1,2,0.875,1,1,0,2,0.944,1,0,1,31.7,1
SIM-C00118,ai_prediction,0,4,0.604,0,0,0.883,1,1,0,0,0.985,1,0,0,39.1,1
SIM-C00119,no_ai,0,4,0.596,0,0,0.741,1,0,0,0,0.741,1,0,0,31.7,1
SIM-C00120,ai_plus_explanation,0,0,0.747,1,0,0.803,1,1,1,0,0.954,1,0,1,48.0,1
SIM-C00121,ai_prediction,0,0,0.792,1,0,0.812,1,1,0,0,0.865,1,0,1,36.7,1
SIM-C00122,ai_plus_explanation,0,1,0.547,0,0,0.674,1,1,1,1,0.703,0,1,1,31.0,1
SIM-C00123,ai_prediction,0,0,0.724,1,0,0.838,1,1,0,0,0.903,1,0,1,36.4,1
SIM-C00124,ai_prediction,2,2,0.842,1,1,0.483,0,1,0,1,0.521,0,0,0,45.7,1
SIM-C00125,ai_prediction,0,3,0.708,0,0,0.718,1,1,0,3,0.805,0,1,1,28.0,1
SIM-C00126,ai_plus_explanation,1,3,0.533,0,1,0.711,1,1,1,1,0.727,1,0,0,52.1,1
SIM-C00127,ai_prediction,4,4,0.76,1,1,0.332,0,1,0,4,0.401,1,1,1,42.9,1
SIM-C00128,ai_prediction,0,0,0.917,1,0,0.899,1,1,0,0,0.901,1,0,1,38.1,1
SIM-C00129,no_ai,0,0,0.803,1,4,0.573,0,0,0,4,0.573,0,0,0,32.3,1
SIM-C00130,no_ai,0,0,0.83,1,0,0.674,1,0,0,0,0.674,1,0,1,32.1,1
SIM-C00131,ai_plus_explanation,1,1,0.909,1,1,0.802,1,1,1,1,0.967,1,0,1,33.3,1
SIM-C00132,ai_plus_explanation,2,0,0.642,0,2,0.735,1,1,0,0,0.807,0,1,1,45.0,1
SIM-C00133,ai_plus_explanation,0,0,0.741,1,0,0.738,1,1,1,0,0.814,1,0,1,47.8,1
SIM-C00134,no_ai,1,1,0.906,1,1,0.63,1,0,0,1,0.63,1,0,1,41.7,1
SIM-C00135,ai_plus_explanation,3,3,0.846,1,3,0.674,1,1,0,3,0.61,1,0,1,33.2,1
SIM-C00136,ai_prediction,2,0,0.486,0,2,0.669,1,1,0,2,0.734,1,0,0,39.0,1
SIM-C00137,ai_plus_explanation,0,1,0.655,0,0,0.834,1,1,1,0,0.887,1,0,0,37.4,1
SIM-C00138,ai_prediction,0,3,0.472,0,0,0.658,1,1,0,0,0.7,1,0,0,42.5,1
SIM-C00139,ai_prediction,2,2,0.666,1,2,0.649,1,1,0,2,0.701,1,0,1,30.9,1
SIM-C00140,ai_plus_explanation,0,0,0.805,1,0,0.542,1,1,1,0,0.482,1,0,1,42.3,1
SIM-C00141,no_ai,3,4,0.62,0,3,0.75,1,0,0,3,0.75,1,0,0,16.0,1
SIM-C00142,ai_plus_explanation,2,2,0.853,1,2,0.837,1,1,0,2,0.933,1,0,1,48.4,1
SIM-C00143,ai_prediction,0,0,0.913,1,0,0.596,1,1,0,0,0.619,1,0,1,36.0,1
SIM-C00144,ai_plus_explanation,4,0,0.618,0,4,0.867,1,1,1,0,0.957,0,1,1,38.4,1
SIM-C00145,ai_prediction,2,2,0.891,1,2,0.97,1,1,0,2,0.945,1,0,1,32.1,1
SIM-C00146,ai_plus_explanation,2,2,0.678,1,0,0.678,0,1,1,0,0.695,0,0,0,42.3,1
SIM-C00147,ai_plus_explanation,1,3,0.756,0,4,0.679,0,1,0,3,0.795,0,1,1,35.9,1
SIM-C00148,ai_prediction,0,0,0.974,1,0,0.84,1,1,0,0,0.936,1,0,1,47.5,1
SIM-C00149,ai_plus_explanation,0,0,0.732,1,0,0.784,1,1,1,0,0.777,1,0,1,61.2,1
SIM-C00150,ai_prediction,0,0,0.759,1,4,0.695,0,1,0,4,0.699,0,0,0,40.4,1
SIM-C00151,ai_prediction,4,4,0.99,1,0,0.515,0,1,0,0,0.562,0,0,0,38.0,1
SIM-C00152,ai_prediction,2,2,0.863,1,2,0.688,1,1,0,2,0.763,1,0,1,43.6,1
SIM-C00153,no_ai,0,0,0.846,1,0,0.582,1,0,0,0,0.582,1,0,1,21.6,1
SIM-C00154,ai_prediction,0,0,0.953,1,0,0.83,1,1,0,0,0.93,1,0,1,38.2,1
SIM-C00155,no_ai,0,0,0.827,1,0,0.953,1,0,0,0,0.953,1,0,1,17.4,1
SIM-C00156,ai_plus_explanation,1,1,0.914,1,1,0.753,1,1,0,1,0.858,1,0,1,34.2,1
SIM-C00157,ai_prediction,1,1,0.852,1,1,0.946,1,1,0,1,0.99,1,0,1,27.7,1
SIM-C00158,no_ai,0,0,0.808,1,0,0.566,1,0,0,0,0.566,1,0,1,38.1,1
SIM-C00159,no_ai,1,1,0.731,1,1,0.92,1,0,0,1,0.92,1,0,1,21.1,1
SIM-C00160,no_ai,2,2,0.872,1,2,0.806,1,0,0,2,0.806,1,0,1,24.9,1
SIM-C00161,ai_plus_explanation,2,2,0.703,1,0,0.541,0,1,0,0,0.509,0,0,0,40.5,1
SIM-C00162,ai_prediction,0,0,0.921,1,2,0.574,0,1,0,0,0.759,1,1,1,36.3,1
SIM-C00163,no_ai,2,2,0.693,1,2,0.642,1,0,0,2,0.642,1,0,1,35.3,1
SIM-C00164,no_ai,2,2,0.887,1,2,0.546,1,0,0,2,0.546,1,0,1,28.5,1
SIM-C00165,no_ai,3,4,0.695,0,3,0.95,1,0,0,3,0.95,1,0,0,13.5,1
SIM-C00166,ai_prediction,2,3,0.718,0,2,0.778,1,1,0,3,0.909,0,1,1,33.3,1
SIM-C00167,ai_plus_explanation,1,1,0.739,1,2,0.776,0,1,0,1,0.875,1,1,1,29.4,1
SIM-C00168,no_ai,0,0,0.731,1,4,0.58,0,0,0,4,0.58,0,0,0,30.1,1
SIM-C00169,ai_prediction,0,0,0.752,1,0,0.72,1,1,0,0,0.707,1,0,1,36.8,1
SIM-C00170,ai_prediction,4,4,0.853,1,3,0.492,0,1,0,4,0.531,1,1,1,50.6,1
SIM-C00171,ai_plus_explanation,0,0,0.99,1,3,0.685,0,1,1,3,0.749,0,0,0,47.2,1
SIM-C00172,ai_prediction,4,4,0.658,1,4,0.707,1,1,0,4,0.75,1,0,1,31.3,1
SIM-C00173,ai_prediction,0,0,0.736,1,0,0.85,1,1,0,0,0.942,1,0,1,36.2,1
SIM-C00174,ai_plus_explanation,1,1,0.764,1,1,0.426,1,1,0,1,0.425,1,0,1,40.4,1
SIM-C00175,ai_plus_explanation,0,0,0.877,1,0,0.787,1,1,1,0,0.954,1,0,1,39.3,1
SIM-C00176,ai_prediction,2,2,0.963,1,2,0.647,1,1,0,2,0.694,1,0,1,30.6,1
SIM-C00177,ai_plus_explanation,2,2,0.895,1,0,0.531,0,1,1,2,0.626,1,1,1,53.2,1
SIM-C00178,ai_plus_explanation,0,0,0.744,1,0,0.651,1,1,1,0,0.68,1,0,1,50.9,1
SIM-C00179,no_ai,0,0,0.99,1,0,0.821,1,0,0,0,0.821,1,0,1,45.3,1
SIM-C00180,no_ai,0,0,0.99,1,0,0.613,1,0,0,0,0.613,1,0,1,40.4,1
SIM-C00181,ai_plus_explanation,0,0,0.958,1,0,0.68,1,1,1,0,0.695,1,0,1,39.9,1
SIM-C00182,ai_plus_explanation,0,0,0.99,1,0,0.902,1,1,1,0,0.947,1,0,1,49.5,1
SIM-C00183,no_ai,2,4,0.431,0,4,0.722,0,0,0,4,0.722,0,0,1,34.0,1
SIM-C00184,ai_prediction,0,0,0.98,1,2,0.576,0,1,0,0,0.682,1,1,1,35.3,1
SIM-C00185,ai_prediction,4,3,0.609,0,0,0.281,0,1,0,3,0.327,0,1,1,35.3,1
SIM-C00186,ai_plus_explanation,0,0,0.978,1,0,0.774,1,1,1,0,0.779,1,0,1,44.5,1
SIM-C00187,ai_prediction,1,0,0.561,0,3,0.838,0,1,0,3,0.982,0,0,0,29.7,1
SIM-C00188,ai_prediction,0,0,0.816,1,0,0.678,1,1,0,0,0.641,1,0,1,28.3,1
SIM-C00189,no_ai,0,0,0.897,1,0,0.763,1,0,0,0,0.763,1,0,1,48.5,1
SIM-C00190,ai_plus_explanation,3,3,0.742,1,4,0.609,0,1,1,3,0.7,1,1,1,42.7,1
SIM-C00191,no_ai,2,2,0.84,1,1,0.46,0,0,0,1,0.46,0,0,0,36.2,1
SIM-C00192,no_ai,0,0,0.759,1,0,0.697,1,0,0,0,0.697,1,0,1,39.8,1
SIM-C00193,ai_plus_explanation,2,2,0.604,1,2,0.658,1,1,0,2,0.664,1,0,1,32.1,1
SIM-C00194,ai_prediction,0,0,0.871,1,0,0.67,1,1,0,0,0.804,1,0,1,41.6,1
SIM-C00195,ai_prediction,0,0,0.858,1,0,0.866,1,1,0,0,0.905,1,0,1,48.1,1
SIM-C00196,no_ai,0,2,0.568,0,0,0.99,1,0,0,0,0.99,1,0,0,27.7,1
SIM-C00197,ai_plus_explanation,2,2,0.849,1,3,0.847,0,1,1,3,0.911,0,0,0,49.8,1
SIM-C00198,ai_plus_explanation,3,3,0.806,1,3,0.502,1,1,1,3,0.53,1,0,1,43.0,1
SIM-C00199,ai_prediction,0,0,0.859,1,0,0.777,1,1,0,0,0.799,1,0,1,32.3,1
SIM-C00200,ai_plus_explanation,0,0,0.982,1,0,0.861,1,1,0,0,0.838,1,0,1,25.1,1
SIM-C00201,no_ai,0,0,0.84,1,0,0.504,1,0,0,0,0.504,1,0,1,35.0,1
SIM-C00202,ai_prediction,0,0,0.714,1,0,0.595,1,1,0,0,0.645,1,0,1,43.7,1
SIM-C00203,ai_prediction,4,4,0.875,1,4,0.516,1,1,0,4,0.541,1,0,1,32.7,1
SIM-C00204,ai_plus_explanation,2,2,0.935,1,2,0.776,1,1,0,2,0.821,1,0,1,50.5,1
SIM-C00205,ai_plus_explanation,0,4,0.489,0,4,0.678,0,1,1,4,0.618,0,0,1,44.2,1
SIM-C00206,ai_plus_explanation,0,0,0.592,1,0,0.841,1,1,0,0,0.798,1,0,1,44.5,1
SIM-C00207,ai_plus_explanation,2,1,0.537,0,0,0.515,0,1,0,0,0.625,0,0,0,52.8,1
SIM-C00208,ai_prediction,2,2,0.941,1,2,0.859,1,1,0,2,0.865,1,0,1,37.7,1
SIM-C00209,no_ai,0,0,0.99,1,0,0.769,1,0,0,0,0.769,1,0,1,25.9,1
SIM-C00210,ai_plus_explanation,3,3,0.867,1,0,0.765,0,1,1,0,0.866,0,0,0,46.1,1
SIM-C00211,ai_plus_explanation,0,0,0.86,1,0,0.773,1,1,1,0,0.745,1,0,1,48.3,1
SIM-C00212,ai_prediction,0,0,0.735,1,0,0.872,1,1,0,0,0.814,1,0,1,47.2,1
SIM-C00213,ai_plus_explanation,2,0,0.504,0,2,0.717,1,1,1,0,0.854,0,1,1,35.5,1
SIM-C00214,ai_plus_explanation,2,2,0.676,1,2,0.981,1,1,1,2,0.99,1,0,1,56.3,1
SIM-C00215,no_ai,0,2,0.544,0,0,0.717,1,0,0,0,0.717,1,0,0,46.2,1
SIM-C00216,no_ai,3,3,0.99,1,3,0.803,1,0,0,3,0.803,1,0,1,24.5,1
SIM-C00217,ai_prediction,1,1,0.773,1,2,0.525,0,1,0,2,0.575,0,0,0,31.2,1
SIM-C00218,ai_plus_explanation,0,0,0.803,1,3,0.637,0,1,1,3,0.678,0,0,0,39.8,1
SIM-C00219,ai_prediction,3,3,0.734,1,3,0.768,1,1,0,3,0.869,1,0,1,51.5,1
SIM-C00220,ai_prediction,2,2,0.942,1,2,0.761,1,1,0,2,0.854,1,0,1,44.7,1
SIM-C00221,ai_prediction,1,4,0.719,0,1,0.699,1,1,0,1,0.743,1,0,0,46.9,1
SIM-C00222,no_ai,2,1,0.492,0,2,0.674,1,0,0,2,0.674,1,0,0,28.5,1
SIM-C00223,no_ai,1,1,0.73,1,1,0.802,1,0,0,1,0.802,1,0,1,36.4,1
SIM-C00224,ai_plus_explanation,2,2,0.728,1,4,0.598,0,1,1,2,0.728,1,1,1,49.3,1
SIM-C00225,no_ai,0,2,0.722,0,0,0.929,1,0,0,0,0.929,1,0,0,26.8,1
SIM-C00226,no_ai,1,3,0.731,0,3,0.615,0,0,0,3,0.615,0,0,1,29.8,1
SIM-C00227,no_ai,2,0,0.615,0,1,0.532,0,0,0,1,0.532,0,0,0,30.1,1
SIM-C00228,ai_plus_explanation,0,0,0.825,1,0,0.99,1,1,1,0,0.99,1,0,1,47.4,1
SIM-C00229,ai_prediction,3,3,0.742,1,3,0.843,1,1,0,3,0.984,1,0,1,36.4,1
SIM-C00230,ai_plus_explanation,0,0,0.795,1,0,0.593,1,1,0,0,0.625,1,0,1,33.5,1
SIM-C00231,no_ai,2,2,0.982,1,2,0.528,1,0,0,2,0.528,1,0,1,30.1,1
SIM-C00232,ai_prediction,2,1,0.516,0,2,0.844,1,1,0,1,0.936,0,1,1,42.0,1
SIM-C00233,ai_plus_explanation,0,0,0.815,1,3,0.718,0,1,0,0,0.779,1,1,1,51.4,1
SIM-C00234,ai_prediction,1,1,0.78,1,1,0.57,1,1,0,1,0.556,1,0,1,29.3,1
SIM-C00235,ai_plus_explanation,0,0,0.893,1,0,0.858,1,1,0,0,0.866,1,0,1,53.0,1
SIM-C00236,no_ai,1,1,0.878,1,1,0.98,1,0,0,1,0.98,1,0,1,42.0,1
SIM-C00237,ai_plus_explanation,0,0,0.855,1,0,0.778,1,1,1,0,0.723,1,0,1,39.6,1
SIM-C00238,ai_plus_explanation,1,1,0.864,1,1,0.74,1,1,0,1,0.763,1,0,1,35.0,1
SIM-C00239,no_ai,0,0,0.668,1,0,0.751,1,0,0,0,0.751,1,0,1,36.7,1
SIM-C00240,ai_prediction,2,2,0.94,1,0,0.628,0,1,0,0,0.626,0,0,0,46.8,1
SIM-C00241,ai_prediction,0,0,0.811,1,0,0.76,1,1,0,0,0.734,1,0,1,46.5,1
SIM-C00242,ai_prediction,0,0,0.865,1,0,0.681,1,1,0,0,0.772,1,0,1,40.2,1
SIM-C00243,ai_plus_explanation,2,2,0.84,1,2,0.635,1,1,0,2,0.657,1,0,1,35.4,1
SIM-C00244,ai_prediction,0,0,0.878,1,1,0.775,0,1,0,1,0.918,0,0,0,31.4,1
SIM-C00245,ai_prediction,0,3,0.765,0,0,0.68,1,1,0,3,0.762,0,1,1,33.1,1
SIM-C00246,ai_plus_explanation,0,0,0.832,1,1,0.521,0,1,1,1,0.665,0,0,0,34.3,1
SIM-C00247,ai_prediction,1,1,0.714,1,1,0.885,1,1,0,1,0.888,1,0,1,36.6,1
